ID	brite
MNXM1026	Other
MNXM111	Minerals
MNXM114	Peptides
MNXM11	Other
MNXM128	Other
MNXM131	Organic acids
MNXM140	Peptides
MNXM1499	Other
MNXM149	Other
MNXM152150	Other
MNXM153069	Other
MNXM1542	Carbohydrates
MNXM157678	Other
MNXM15	Other
MNXM160410	Other
MNXM160414	Other
MNXM160440	Other
MNXM161119	Other
MNXM161163	Other
MNXM161213	Other
MNXM19009	Other
MNXM196	Minerals
MNXM198	Carbohydrates
MNXM1	Other
MNXM21	Other
MNXM2255	Other
MNXM2276	Other
MNXM231	Peptides
MNXM27	Other
MNXM2	Other
MNXM304	Vitamins and Cofactors
MNXM32	Peptides
MNXM3673	Other
MNXM41	Carbohydrates
MNXM43229	Other
MNXM43	Other
MNXM4505	Other
MNXM4	Other
MNXM531993	Other
MNXM53	Peptides
MNXM55	Peptides
MNXM58	Minerals
MNXM59041	Carbohydrates
MNXM599	Organic acids
MNXM60	Other
MNXM61025	Other
MNXM61028	Carbohydrates
MNXM61032	Carbohydrates
MNXM61038	Carbohydrates
MNXM632	Other
MNXM653	Other
MNXM70	Peptides
MNXM82680	Other
MNXM88705	Other
MNXM89	Minerals
MNXM90852	Other
MNXM90960	Other
MNXM95120	Other
MNXM95	Other
MNXM9	Minerals
